run_id,status,dur_p1_spa_to_ctrl_send_ms,delay_ctrl_spa_proc_ms,dur_p1_mtls_to_ctrl_ms,dur_p1_auth_req_reply_ms,dur_p1_save_creds_ms,delay_gw_setup_sync_ms,dur_p2_spa_to_gw_send_ms,delay_gw_spa_proc_ms,dur_p2_mtls_to_gw_ms,total_attempt_duration_ms,calc_total_setup_if_success_ms
1,SUCCESS,0.5603153258562088,10.0,198.86112585663795,627.5615692138672,0.33322256058454514,10.0,0.16862526535987854,10.0,9.466721676290035,867.6752308383584,866.9515798985958
2,SUCCESS,0.15920959413051605,10.0,9.503861889243126,800.1307118684053,0.769677571952343,10.0,0.16736332327127457,10.0,9.324636310338974,850.711090490222,850.0554605573416
3,SUCCESS,0.14210306107997894,10.0,9.359209798276424,441.479186527431,0.6560096517205238,10.0,0.18087774515151978,10.0,8.699038065969944,491.1983348429203,490.5164248496294
4,SUCCESS,0.13786368072032928,10.0,9.383480995893478,544.9804542586207,0.7183877751231194,10.0,0.16068387776613235,10.0,8.454607799649239,594.4346114993095,593.835478387773
5,SUCCESS,0.1479610800743103,10.0,7.194283418357372,1332.067078910768,0.6490936502814293,10.0,0.13612303882837296,10.0,7.41155631840229,1378.1970189884305,1377.6060964167118
6,SUCCESS,0.12794788926839828,10.0,6.949937902390957,396.06476947665215,0.6246194243431091,10.0,0.11948123574256897,10.0,7.2963787242770195,441.7444299906492,441.1831346526742
7,SUCCESS,0.11947564780712128,10.0,6.8604350090026855,567.2300942242146,0.7685897871851921,10.0,0.15350151807069778,10.0,7.288939319550991,613.010142929852,612.4210355058312
8,SUCCESS,0.12569408863782883,10.0,9.467522613704205,592.6466286182404,0.6584320217370987,10.0,0.16007013618946075,10.0,9.060756303369999,642.7248995751143,642.119103781879
9,SUCCESS,0.12713391333818436,10.0,7.386316545307636,1295.1600644737482,1.316743902862072,10.0,0.15144795179367065,10.0,8.14224686473608,1342.892363667488,1342.2839536517859
10,SUCCESS,0.15186239033937454,10.0,9.12278052419424,396.1400529369712,0.9405910968780518,10.0,0.13442523777484894,10.0,7.863513194024563,445.0642913579941,444.35322538018227
11,SUCCESS,0.13796798884868622,10.0,7.824050262570381,1111.5981051698327,0.7413066923618317,10.0,0.14787912368774414,10.0,8.446789346635342,1159.5255127176642,1158.8960985839367
12,SUCCESS,0.12048985809087753,10.0,6.55038096010685,676.783804781735,0.7838066667318344,10.0,0.16585923731327057,10.0,7.873997092247009,722.894636914134,722.2783385962248
13,SUCCESS,0.12439675629138947,10.0,26.138434186577797,761.6975186392665,0.7604211568832397,10.0,0.15382934361696243,10.0,7.3902057483792305,826.8336728215218,826.2648058310151
14,SUCCESS,0.1462819054722786,10.0,6.979197263717651,1215.357973240316,0.5987090989947319,10.0,0.16384758055210114,10.0,8.330467157065868,1262.3234037309885,1261.5764762461185
15,SUCCESS,0.13966858386993408,10.0,9.493384510278702,367.9534997791052,0.983002595603466,10.0,0.16494933515787125,10.0,10.44129766523838,419.85384095460176,419.17580246925354
16,SUCCESS,0.14052726328372955,10.0,17.70786102861166,455.15377447009087,0.8239578455686569,10.0,0.1576477661728859,10.0,8.525700308382511,513.1998518481851,512.5094686821103
17,SUCCESS,0.13069622218608856,10.0,7.306145504117012,750.4154155030847,0.8604042232036591,10.0,0.1715589314699173,10.0,8.515533059835434,798.0783171951771,797.3997534438968
18,SUCCESS,0.13509206473827362,10.0,9.514507837593555,395.9434675052762,0.6716670468449593,10.0,0.1433277502655983,10.0,7.274726405739784,444.33410186320543,443.6827886104584
19,SUCCESS,0.12565869837999344,10.0,9.568190202116966,631.2902355566621,0.575498677790165,10.0,0.1563001424074173,10.0,9.869212284684181,682.2302155196667,681.5850955620408
20,SUCCESS,0.14913640916347504,10.0,6.844351068139076,405.5697889998555,0.6492342799901962,10.0,0.15403702855110168,10.0,7.260899059474468,451.2478057295084,450.62744684517384
21,SUCCESS,0.15270430594682693,10.0,6.692593917250633,1019.3168800324202,0.6999410688877106,10.0,0.15713926404714584,10.0,8.526599034667015,1066.150153055787,1065.5458576232195
22,SUCCESS,0.14102552086114883,10.0,6.869384087622166,531.4256679266691,0.7505407556891441,10.0,0.15833135694265366,10.0,7.411263883113861,577.3923648521304,576.7562135308981
23,SUCCESS,0.14615152031183243,10.0,6.701699458062649,549.7673051431775,0.8696950972080231,10.0,0.1424010843038559,10.0,8.344708010554314,596.5876132249832,595.9719603136182
24,SUCCESS,0.13436004519462585,10.0,7.047905586659908,780.5697293952107,0.7968172430992126,10.0,0.14844536781311035,10.0,8.319316431879997,827.6121085509658,827.0165740698576
25,SUCCESS,0.14073587954044342,10.0,7.237140089273453,742.7014196291566,0.673854723572731,10.0,0.1250794157385826,10.0,7.756469771265984,789.2125677317381,788.6346995085478
26,SUCCESS,0.1248558983206749,10.0,7.216508500277996,975.5566846579313,0.9217448532581329,10.0,0.15704892575740814,10.0,9.445903822779655,1026.1140624061227,1023.4227466583252
27,SUCCESS,0.13276655226945877,10.0,7.288376800715923,321.35774847120047,0.6153993308544159,10.0,0.12091174721717834,10.0,7.311277091503143,367.40946397185326,366.8264799937606
28,SUCCESS,0.13034511357545853,10.0,6.716451607644558,1282.945780083537,0.3216182813048363,10.0,0.13664830476045609,10.0,8.565221913158894,1329.4263677671552,1328.8160653039813
29,SUCCESS,0.15538372099399567,10.0,9.793282486498356,836.5154834464192,0.6775828078389168,10.0,0.1611793413758278,10.0,9.72441304475069,887.642765417695,887.027324847877
