run_id,status,dur_p1_spa_to_ctrl_send_ms,delay_ctrl_spa_proc_ms,dur_p1_mtls_to_ctrl_ms,dur_p1_auth_req_reply_ms,dur_p1_save_creds_ms,delay_gw_setup_sync_ms,dur_p2_spa_to_gw_send_ms,delay_gw_spa_proc_ms,dur_p2_mtls_to_gw_ms,total_attempt_duration_ms,calc_total_setup_if_success_ms
1,SUCCESS,0.472494401037693,10.0,148.37274979799986,614.5683862268925,0.2881288528442383,10.0,0.1697121188044548,10.0,10.211019776761532,804.781305603683,804.0824911743402
2,SUCCESS,0.13600848615169525,10.0,7.154636085033417,316.28095731139183,0.3709113225340843,10.0,0.18763262778520584,10.0,7.598976604640484,362.7363061532378,361.7291224375367
3,SUCCESS,0.18525589257478714,10.0,8.126857690513134,517.2942662611604,0.3413558006286621,10.0,0.1497780904173851,10.0,11.156673543155193,568.3246478438377,567.2541872784495
4,SUCCESS,0.15952996909618378,10.0,8.499686606228352,688.7432197108865,0.3063678741455078,10.0,0.13436470180749893,10.0,9.181629866361618,737.6798326149583,737.0247987285256
5,SUCCESS,0.14818180352449417,10.0,7.254241965711117,527.6108616963029,0.4014400765299797,10.0,0.15690643340349197,10.0,8.640232495963573,574.8066501691937,574.2118644714355
6,SUCCESS,0.1474674791097641,10.0,6.707500666379929,594.3104578182101,0.33917464315891266,10.0,0.17786771059036255,10.0,8.458520285785198,640.8329708501697,640.1409886032343
7,SUCCESS,0.1434003934264183,10.0,9.413653053343296,588.0752708762884,0.41889213025569916,10.0,0.135716050863266,10.0,11.835865676403046,640.7398311421275,640.0227981805801
8,SUCCESS,0.14037266373634338,10.0,6.361314095556736,619.4275915622711,0.27529802173376083,10.0,0.12163445353507996,10.0,8.566129021346569,665.4920177534223,664.8923398181796
9,SUCCESS,0.15851669013500214,10.0,9.014853276312351,865.5454684048891,0.31561870127916336,10.0,0.16877707093954086,10.0,8.678658865392208,914.5896909758449,913.8818930089474
10,SUCCESS,0.1410888507962227,10.0,6.491625681519508,768.3208612725139,0.41715800762176514,10.0,0.16618799418210983,10.0,8.709236048161983,814.8953458294272,814.2461578547955
11,SUCCESS,0.14612171798944473,10.0,7.303706370294094,622.1506036818027,0.30771177262067795,10.0,0.15786197036504745,10.0,7.50176515430212,668.8509248197079,667.5677706673741
12,SUCCESS,0.15666428953409195,10.0,7.381288334727287,851.1222153902054,0.3077508881688118,10.0,0.17603859305381775,10.0,7.69825279712677,897.4441764876246,896.8422102928162
13,SUCCESS,0.14397967606782913,10.0,6.470363587141037,587.6322891563177,0.3874152898788452,10.0,0.16266480088233948,10.0,10.305613279342651,636.0656609758735,635.1023257896304
14,SUCCESS,0.1415582373738289,10.0,7.277986966073513,905.4325968027115,0.30727218836545944,10.0,0.16471371054649353,10.0,8.500127121806145,952.50422693789,951.8242550268769
15,SUCCESS,0.14351774007081985,10.0,8.672117255628109,621.2833803147078,0.41813962161540985,10.0,0.1710662618279457,10.0,8.199270814657211,669.5914259180427,668.8874920085073
16,SUCCESS,0.147353857755661,10.0,11.081423610448837,733.3829458802938,0.32788608223199844,10.0,0.15626102685928345,10.0,8.965752087533474,784.7232958301902,784.0616225451231
17,SUCCESS,0.1439964398741722,10.0,6.9045014679431915,610.828029923141,0.3179917111992836,10.0,0.17863977700471878,10.0,10.168766602873802,659.6175953745842,658.5419259220362
18,SUCCESS,0.1693814992904663,10.0,6.813999265432358,720.4851871356368,0.29925350099802017,10.0,0.16171112656593323,10.0,9.408488869667053,768.2478530332446,767.3380213975906
19,SUCCESS,0.14898180961608887,10.0,8.377822116017342,549.1914842277765,0.30615460127592087,10.0,0.14063064008951187,10.0,9.443339891731739,598.2665428891778,597.6084132865071
20,SUCCESS,0.16100425273180008,10.0,8.256077766418457,463.6746272444725,0.32829400151968,10.0,0.17033610492944717,10.0,11.36794313788414,514.6873462945223,513.958282507956
21,SUCCESS,0.15351641923189163,10.0,9.09922830760479,763.6751234531403,0.3506690263748169,10.0,0.17050467431545258,10.0,9.008897468447685,813.1243959069252,812.4579393491149
22,SUCCESS,0.1407107338309288,10.0,7.304731756448746,480.1162164658308,0.3577526658773422,10.0,0.1763245090842247,10.0,1053.56730427593,1572.3010189831257,1571.663040407002
23,SUCCESS,0.12982264161109924,10.0,5.988693796098232,489.6592069417238,0.32870564609766006,10.0,0.16058329492807388,10.0,8.516309782862663,536.0718946903944,534.7833221033216
24,SUCCESS,0.14149583876132965,10.0,7.283763960003853,572.1200620755553,0.42248982936143875,10.0,0.19296258687973022,10.0,10.352196171879768,621.1895318701863,620.5129704624414
25,SUCCESS,0.13425014913082123,10.0,6.0395775362849236,486.37105990201235,0.5041146650910378,10.0,0.17855968326330185,10.0,10.3466073051095,534.2924725264311,533.5741692408919
26,SUCCESS,0.14697015285491943,10.0,8.262984454631805,418.28258614987135,0.4120348021388054,10.0,0.1536039635539055,10.0,7.507553324103355,465.5668204650283,464.76573284715414
27,SUCCESS,0.1677917316555977,10.0,7.332050241529942,699.682698585093,0.47449488192796707,10.0,0.1977086067199707,10.0,10.381948202848434,748.9363299682736,748.2366922497749
28,SUCCESS,0.15138275921344757,10.0,5.942295305430889,827.2495763376355,0.31147338449954987,10.0,0.14302879571914673,10.0,8.520849049091339,873.1396431103349,872.3186056315899
29,SUCCESS,0.14491192996501923,10.0,7.905087433755398,539.1257936134934,0.3369459882378578,10.0,0.16220752149820328,10.0,8.944322355091572,587.2950330376625,586.6192688420415
